"id","tx","ty","tz","rx","ry","rz"
49,0.89859,-0.200012,1.39914,-2.44793,-1.84919,0.0348263
120,-0.485557,-0.225947,1.48229,2.50533,-1.86902,-0.131803
36,-0.813004,-0.246964,1.5056,-1.82762,-2.44667,0.0212692
105,0.0823993,-0.280925,1.44111,-3.15095,0.0546684,0.119775
173,0.478016,-0.290105,1.42271,2.73956,1.67957,-0.0483875
114,-0.253985,-0.298919,1.45749,2.73808,-1.45219,-0.134669
53,0.8552,-0.33896,1.39426,-2.61516,-1.63871,0.0558641
174,0.352606,-0.378305,1.42646,-3.00749,-0.742845,0.116327
104,0.00908675,-0.4541,1.44005,3.10903,-0.370146,-0.100011
110,-0.224382,-0.56521,1.45124,3.02442,-0.806865,-0.100814
22,-0.362952,-0.641768,1.46262,-0.884993,-2.93861,-0.00588036
18,-0.249679,-0.714377,1.45415,0.651588,3.14815,0.0146196
14,-0.121759,-0.767345,1.44951,-0.344716,-3.04443,-0.0289275
2,0.286984,-0.775811,1.42023,0.498533,-3.02094,-0.0498884
12,-0.159329,-0.935417,1.44539,-0.336199,-3.04624,-0.0287599
8,0.0127844,-0.968603,1.43458,-0.051457,-3.06461,-0.0360828
